Index,Speech,ThemeLabel
218,интересует телефон филиала городе нижний новгород работе юридическими лицами,0
3998,пришло смс пароль,8
10545,можете соединить оператором,21
6910,интересует номер телефона банка,15
2560,погашение кредита досрочно,5
778,самое банкомате отделения банка банкомат,0
8237,перечислили карточку карта,18
12556,здравствуйте хотела узнать узнавать,27
2878,действующего кредита,5
8609,поступление денежных средств счет,18
3019,перевод денег другую карту,6
10168,позвонить оператору,21
1332,хотел заблокировать карту,2
12855,закрытие счета организаций,31
10035,идите оператором,21
3420,задолженности,7
3563,зарегистрироваться интернете банке,8
12297,интересует работа нашего терминала,25
1194,адреса екатеринбурге банков,0
7697,интересует зарплату перечислили карточку деньги пришли,18
8598,платеж терминал пришли,18
10150,связаться оператором необходимо поводу могу почему,21
3878,пришло пароль,8
9608,открытие вклада день,20
13193,физическое лицо,33
11806,заявка банк кредит,24
9665,нужно сделать заявку получение наличных денежных средств вкладу,20
70,интересует отсутствие денег банкомате,0
4585,снятие ареста банковской карты,9
13266,вопрос юридическим лицам,35
2427,интересует вопрос кредиту,5
4328,ес,9
7592,интересует перевод моего счета денег мою сбербанковскую карту,18
4112,узнать кассе день сказать,8
2889,нужно перевести платеж другое,5
7928,кода,18
7739,утеряна карта,18
12937,открытие счета выбор,31
10525,города сибае поэтому позвонить специалист проконсультироваться хочу,21
11771,получение кредита потребительский,24
8870,хочу узнать платеж прошел,18
6909,подключить мобильный банк,15
2267,алло вклада,4
5651,какого возраста даете кредит,10
10070,связи сотрудником,21
5018,перевод карты карту контракт банке,9
9977,интересует информация сотрудники,21
124,читается карта банкомате,0
11247,кредит потребительский кредит наличными,24
2451,перенос дата платежа,5
5269,эсэмэски несколько дней,10
1009,вокзале,0
9104,оплата обучения внести,18
5349,кредит дом пять минут,10
8807,комиссия взымается оплатить услуги вашем банке карты,18
2876,интересует предыдущий кредит оплата предыдущего кредита,5
6898,войти мобильный банк,15
3957,пароль клиент банка,8
8034,карту получил,18
7851,нужен оператором зарплатной карте,18
6454,карту кредитную должны прислать,11
889,алло пожалуйста нахожусь центрального банка хотел,0
2475,пришла смска заплатить срочно кредит,5
10005,консультации банкомату,21
1372,интересует натальей переговорить наталья звонил,3
11278,хотели хотели кредит получить кредит значит понедельник городе свердловске первое,24
6205,кредит жду,10
4887,карте москва,9
9412,оформить кредитную карту положила деньги кредит заплатила,19
803,банкомат банкомат,0
3827,входа интернет банк,8
11059,поводу узнать поводу кредита,24
3731,зайти интернет банк,8
11830,бумаг работает вашего банка хочу потеряли банк возьмет кредит э процент,24
12821,открытие счета юридического лица,31
10470,нужно связаться оператор,21
12765,закрыть счет,31
13246,работа юрлицами,35
5009,хочу узнать поводу карты,9
11659,могу получить кредит,24
10299,нужно связаться менеджером,21
12888,хочу узнать информацию поводу открытия счета,31
11518,хотели взять кредит,24
4440,пять тысяч,9
8334,идет карты карту деньги карту дает чек изъял карту туда положить карты,18
2637,действующим кредит,5
7191,заказать деньги которые останкин находится,17
6085,ипотека,10
12958,расчетного счета юридического лица,31
5298,четырнадцатый,10
11930,кредит оформлять,24
12999,интересует вопрос расчетного счета моему,31
7369,платеж,18
9594,узнать процент вкладам срок,20
5674,кредит сеть,10
5474,пришла смска насчет кредита,10
2780,вопрос кредиту,5
6327,интересует сколько лет кредит кредита нам одобрили кредит девяносто восемь лиц,10
12035,подавала заявку кредит алло,24
11544,код получения кредита,24
3934,забыл пароль забыла пароль который откроете,8
11261,оформление кредита наличными,24
156,банкоматы комиссии,0
5132,выплатили карточку,9
7260,вопрос действующей карте,18
13196,алло физических лиц,33
7224,действия действующих вклад,17
7286,хотел проверить баланс карте должны перечислить деньги зарплату,18
3372,задолжность пришла алло,7
12115,интересует страховка сняли ума пятьдесят тысяч страховку кредита забрал двенадцать алло,24
10286,оператором переговорить,21
5886,свяжите кредит,10
11790,хочу просто взять бумажку пользовалась кредитам,24
11215,пришла смска одобрили кредит хотела узнать подробности,24
10143,оператор сказал перезвоню,21
5579,девушка кредит,10
3661,строить интернет банк,8
4220,слышите,9
12513,здравствуйте интересует момент интернете смотрю условия,27
12299,поводу терминал вопрос,25
1601,вчера звонок сменила услышать ответить,3
10712,хотел узнать сделали карту,23
10655,платежное поручение выпустили,22
7717,действующей карте вопрос,18
9070,пин,18
2196,узнать вкладу,4
266,телефон саратовской отделение мичуринском,0
7026,возникла проблема работы банкомата,16
5028,карта максима,9
9639,процентов,20
303,сообщений интересует обновление ваши программы причем день банкомат,0
9808,поговорить консультантом,21
12914,открыть расчетный счет юридического лица,31
7823,оплата последний,18
1394,хочется узнать поводу какому поводу звонили номера,3
13268,услуги юридических лиц,35
2151,алло хотела,4
7986,пришли деньги карточку зарплата,18
7088,оставили карту банкомате,16
6846,валюта продажа,14
274,отделение банка крыму,0
2410,закрыть кредит,5
8985,нужно снять лимит моей карте,18
13290,счет юрлица,35
7555,интересует платеж,18
12666,какие нужно справка оформления кредитной карты,28
10337,сша оператором,21
12487,алло здравствуйте дело звонят моего алло значит,27
5428,вашими прошла телефон интересует кредитам,10
6857,интересует приобретение валюты,14
8056,кодом делать,18
10327,связаться оператором связаться,21
9677,вклад открыть,20
12132,хотел кредит,24
7507,платеж прошел причиной,18
11917,подавал заявку кредит позвонил никто хотелось узнать результат,24
12351,платежный терминал,25
4094,слушайте сказал интересует интересует идет рекламы наград такого подошли кредита,8
5275,смски точный,10
1714,вчера звонили какому поводу,3
5992,ищу кредита,10
13285,тысячи юридическое лицо,35
9291,проблема карточкой,18
3479,интернет банкинг,8
6016,кредиту шестнадцать,10
13222,торговой эквайринг,34
7297,снятие наличных,18
11135,получение,24
9175,получения вами пришло код,18
256,интересует филиал,0
3452,нужно распечатать интернет банком э платежный получения две тысячи тринадцатый две тысячи четырнадцатый год,8
5318,кредит бизнеса,10
